emoji_level,font_file,cp_seq,supported
1.0,api_level/21/NotoColorEmoji.ttf,"(127960,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127961,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127962,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127963,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127964,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127965,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127966,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127967,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127968,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127969,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127970,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127971,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127972,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127973,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127974,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127975,)",True
